h3_index,gpu_count,annual_pue,ac_coupled_base_lcoe,ac_coupled_total_lcoe,dc_coupled_base_lcoe,dc_coupled_total_lcoe,grid_base_lcoe,grid_total_lcoe,natural_gas_base_lcoe,natural_gas_total_lcoe,ng_config,ng_construction_years,latitude,longitude
8412c93ffffffff,24000,1.0983882213464475,,,0.3268166780713425,0.7681166780713425,0.0667,1.062809401140004,0.1885001400472263,1.1739814471758303,1x Siemens SGT-A45,4.0,48.77000828904844,-111.6132304376774
8412c93ffffffff,50000,1.0983882213464475,,,0.3268166780713425,0.7681166780713425,0.0667,1.062809401140004,0.1692887436512724,1.1547700507798768,2x Siemens SGT-A45,4.0,48.77000828904844,-111.6132304376774
8412c93ffffffff,750000,1.0983882213464475,,,0.3268166780713425,0.7681166780713425,0.0667,1.0628094011400042,0.1304192022105343,1.1304178882410167,2x GE 9HA.01,4.05,48.77000828904844,-111.6132304376774
8412c95ffffffff,24000,1.0979470283429098,0.4664213585734077,0.9077213585734076,0.3785586613696229,0.8198586613696229,0.0667,1.0632094015398306,0.188538130504986,1.1744154380294185,1x Siemens SGT-A45,4.0,48.98368621261201,-112.6243422580039
8412c95ffffffff,50000,1.0979470283429098,0.4664213585734077,0.9077213585734076,0.3785586613696229,0.8198586613696229,0.0667,1.0632094015398303,0.1693163908552534,1.1551936983796862,2x Siemens SGT-A45,4.0,48.98368621261201,-112.6243422580039
8412c95ffffffff,750000,1.0979470283429098,0.4664213585734077,0.9077213585734076,0.3785586613696229,0.8198586613696229,0.0667,1.0632094015398306,0.1304394218491055,1.1308399418592192,2x GE 9HA.01,4.05,48.98368621261201,-112.6243422580039
8412c97ffffffff,24000,1.0981440021053448,,,0.3587334205856191,0.8000334205856191,0.0667,1.0630307787934865,0.1885211650401474,1.174221636045699,1x Siemens SGT-A45,4.0,48.68986128979077,-112.18776453383892
8412c97ffffffff,50000,1.0981440021053448,,,0.3587334205856191,0.8000334205856191,0.0667,1.0630307787934865,0.169304044672068,1.1550045156776192,2x Siemens SGT-A45,4.0,48.68986128979077,-112.18776453383892
8412c97ffffffff,750000,1.0981440021053448,,,0.3587334205856191,0.8000334205856191,0.0667,1.0630307787934865,0.1304303929241934,1.1306514713911306,2x GE 9HA.01,4.05,48.68986128979077,-112.18776453383892
8412ca3ffffffff,24000,1.0979247508859336,,,0.5178963915732816,0.9591963915732816,0.0667,1.0632296075568146,0.1885400493655935,1.1744373608468406,1x Siemens SGT-A45,4.0,48.72027816985041,-114.32389734102182
8412ca3ffffffff,50000,1.0979247508859336,,,0.5178963915732816,0.9591963915732816,0.0667,1.063229607556815,0.1693177874073146,1.1552150988885617,2x Siemens SGT-A45,4.0,48.72027816985041,-114.32389734102182
8412ca3ffffffff,750000,1.0979247508859336,,,0.5178963915732816,0.9591963915732816,0.0667,1.0632296075568148,0.1304404431623704,1.1308612618127376,2x GE 9HA.01,4.05,48.72027816985041,-114.32389734102182
8412ca5ffffffff,24000,1.0979854151137307,,,0.6810500555649106,1.1223500555649106,0.0667,1.0631745860360091,0.1885348223048896,1.1743776624805389,1x Siemens SGT-A45,4.0,48.90848568990036,-115.32716494751485
8412ca5ffffffff,50000,1.0979854151137307,,,0.6810500555649106,1.1223500555649106,0.0667,1.0631745860360091,0.1693139847309617,1.155156824906611,2x Siemens SGT-A45,4.0,48.90848568990036,-115.32716494751485
8412ca5ffffffff,750000,1.0979854151137307,,,0.6810500555649106,1.1223500555649106,0.0667,1.0631745860360096,0.130437662033343,1.130803206947283,2x GE 9HA.01,4.05,48.90848568990036,-115.32716494751485
8412ca7ffffffff,24000,1.098084138710507,,,0.5149736873897501,0.9562736873897502,0.0667,1.0630850582503075,0.1885263212152095,1.1742805288830145,1x Siemens SGT-A45,4.0,48.62792044287574,-114.8806373627701
8412ca7ffffffff,50000,1.098084138710507,,,0.5149736873897501,0.9562736873897502,0.0667,1.063085058250308,0.1693077965674995,1.1550620042353044,2x Siemens SGT-A45,4.0,48.62792044287574,-114.8806373627701
8412ca7ffffffff,750000,1.098084138710507,,,0.5149736873897501,0.9562736873897502,0.0667,1.0630850582503075,0.1304331366418837,1.130708743379683,2x GE 9HA.01,4.05,48.62792044287574,-114.8806373627701
8412cb1ffffffff,24000,1.0979233388817131,0.4377427314256084,0.8790427314256084,0.357429008842854,0.798729008842854,0.0667,1.0632308882953163,0.1885401714248482,1.174438750837212,1x Siemens SGT-A45,4.05,48.52232287159422,-113.32283834993422
8412cb1ffffffff,50000,1.0979233388817131,0.4377427314256084,0.8790427314256084,0.357429008842854,0.798729008842854,0.0667,1.063230888295316,0.1693178753879214,1.155216454800285,2x Siemens SGT-800,4.05,48.52232287159422,-113.32283834993422
8412cb1ffffffff,750000,1.0979233388817131,0.4377427314256084,0.8790427314256084,0.357429008842854,0.798729008842854,0.0667,1.063230888295316,0.1304405079409514,1.1308626132006547,3x GE 7HA.02,4.05,48.52232287159422,-113.32283834993422
8412cb3ffffffff,24000,1.0979493859228673,0.47212538435256,0.91342538435256,0.3824416442701733,0.8237416442701734,0.0667,1.0632072632243197,0.1885379266533416,1.1744131172454175,1x Siemens SGT-A45,4.05,48.2325465009541,-112.88835662119864
8412cb3ffffffff,50000,1.0979493859228673,0.47212538435256,0.91342538435256,0.3824416442701733,0.8237416442701734,0.0667,1.0632072632243192,0.1693162431412478,1.155191433733324,2x Siemens SGT-800,4.05,48.2325465009541,-112.88835662119864
8412cb3ffffffff,750000,1.0979493859228673,0.47212538435256,0.91342538435256,0.3824416442701733,0.8237416442701734,0.0667,1.0632072632243192,0.1304393137578776,1.1308376856505595,3x GE 7HA.02,4.05,48.2325465009541,-112.88835662119864
